Customer ID,State,Area_Code,Phone,Intl_Plan,VMail_Plan,Churn
9323a0a9273b4f1e,KS,415,382-4657,no,yes,0
926c851dbe8e87fe,OH,415,371-7191,no,yes,0
937b3d3eac05bdca,NJ,415,358-1921,no,no,0
73ef0ab47c05976,OH,408,375-9999,yes,no,0
6e79790b59e2280,OK,415,330-6626,yes,no,0
92c865e3b9ff52bd,AL,510,391-8027,yes,no,0
930f60a7f72ba9b3,MA,510,355-9993,no,yes,0
93d56df307c9c4dc,MO,415,329-9001,yes,no,0
92c67c6b0ebdfeea,LA,408,335-4719,no,no,0
93c4eb2948b5367a,WV,415,330-8173,yes,yes,0
68cc4bc8b76857f,IN,415,329-6603,no,no,1
6e4f4b510c7d831,RI,415,344-9403,no,no,0
948c761a888625ea,IA,408,363-1107,no,no,0
79bf83557100a05,MT,510,394-8006,no,no,0
683fe5013ca7bd1,IA,415,366-9238,no,no,0
94789ed1e9d1b28e,NY,415,351-7269,no,no,1
74146bb5f857f98,ID,408,350-8884,no,yes,0
796fdbb925c7c61,VT,510,386-2923,no,no,0
6eb2195a1e05be8,VA,510,356-2992,no,yes,0
6e246fdb1733f82,TX,415,373-2782,no,no,0
93d4c34d0a25c175,FL,415,396-5800,no,no,0
6ec4d01ff8c644f,CO,408,393-7984,no,no,1
9365aeea76510c64,AZ,415,358-1958,no,no,0
92b5ad9cc9300ffd,SC,415,350-2565,no,no,0
936d6765f204be50,VA,510,343-4696,no,no,0
94db9085b10a8b7e,NE,415,331-3698,no,no,0
639abf203cae56c,WY,408,357-3817,no,yes,0
62ffb476ae69d7c,MT,408,418-6412,no,no,0
51582f67e1672a2,MO,415,353-2630,no,no,0
5e3c4e019a636c6,HI,510,410-7789,no,no,0
93c67c38bf3b3843,IL,415,416-8428,no,no,0
6e77d31d81ee962,NH,510,370-3359,no,no,0
94d58a6f598464da,LA,408,383-1121,no,no,0
4bff8f4bb74e460,AZ,408,360-1596,no,no,1
638e0b715f01246,OK,408,395-2854,no,yes,0
6de13182c1240a2,GA,415,362-1407,no,yes,0
5801cdc0654854b,AK,408,341-9764,no,yes,0
6f01c0f2ff69a3b,MA,415,353-3305,no,no,0
93771bfc98cf968b,AK,415,402-1381,yes,yes,0
93db5503697ade7f,NJ,408,332-9891,no,no,0
7a41587edbbadbc,GA,408,372-9976,no,no,0
93754da6aa84e7e5,MD,408,383-6029,yes,yes,1
57a4f6522b91a0f,AR,510,353-7289,no,no,0
94752cda37c4c39c,ID,415,390-7274,no,no,0
68b2810fffe4857,WI,510,352-1237,no,no,0
63eb90976963900,OR,408,353-3061,no,yes,0
68d210c40a17cf7,MI,415,363-5450,no,no,0
93c5fe89891e28cb,DE,408,364-1995,no,no,0
92cc09815afadc86,ID,415,398-1294,no,no,1
7a2bf777e8b85d5,WY,415,405-7146,no,yes,0
629b975665a25d8,IA,408,413-4957,no,no,0
67e3585fb842321,IN,408,420-5645,no,no,0
4bc0ba5c6936c00,VA,408,349-4396,no,no,0
79fa20c1a071f15,UT,415,404-3211,no,no,0
7487a92140c6fca,WY,415,353-3759,no,no,1
735a8b310a275e7,IN,408,363-5947,no,no,0
93c304cc59fe348e,CO,415,340-5121,no,no,0
930e7b0ce94e93f3,CO,408,370-7574,no,yes,1
696cde0b4aba64d,WI,415,403-9733,no,no,0
931b3e4bfdfca97c,OK,408,355-7251,no,no,0
94db1783cecb1297,ID,408,359-5893,no,no,0
92c2ba92ac724a7d,CA,415,405-3371,no,yes,0
6e4805a30acf0ff,MN,510,344-5117,no,yes,0
93dbc897b54eeb10,SD,408,332-8160,no,yes,0
5872228383fd1aa,NC,408,359-4081,no,no,0
5caf251fae7ec88,WA,415,352-8305,no,yes,0
5d3c1470d402f1b,WY,415,329-9847,yes,no,0
92baf8c2d5a32561,MN,408,365-9011,yes,no,0
931ebf011e54edda,UT,408,338-9472,no,no,0
941c0000e19aff1e,TX,510,374-8042,no,no,1
937e26b1429f2f02,NJ,408,359-1231,no,no,0
947b67b5c32e1c93,MN,510,413-7170,no,yes,0
93d58477ffaedaac,NM,510,415-2935,no,no,0
78d829193f14cfe,NV,415,399-4246,no,no,0
741329088e0c8e5,HI,415,362-5889,no,no,0
62450cffbcb2f40,MN,415,350-8921,no,no,0
7381161b7c22b77,DC,415,374-5353,no,no,1
93ccd169cc4b24d1,NY,408,360-1171,no,no,1
5db849f79fdf281,MN,415,355-8887,no,no,0
6d8d2cddbd10938,MD,408,333-1967,no,no,0
93cda78178016547,WV,415,354-4577,no,no,0
92c3e84c286eee10,OR,415,331-7425,yes,no,0
631f0619149c8ea,CO,408,419-2637,no,yes,0
6d840385ff60b32,GA,415,411-1530,no,yes,0
926a2050a3fdfdd5,TX,510,395-3026,no,no,1
9324a9f344e58f45,VT,510,388-6441,no,yes,0
798a9efffc73899,IN,408,402-1251,no,no,1
92b61c8f331f40a1,WV,510,412-9997,no,no,0
6e458caaa757526,KY,415,346-7302,no,yes,0
9323e1d1393c4d38,NJ,415,358-9095,no,no,1
7381166a68637ce,DC,510,400-9770,no,no,0
9429bd060204e719,LA,415,334-1275,no,no,1
73201fabb98818f,AR,415,340-4953,no,no,0
6f01f2edb4e92d2,ME,415,400-9510,no,no,0
